"Bug ID,""Summary"",""Severity""";
"56317,""waterson rocks"",""blocker""";
"58045,""Building the Qt port fails in nsGfxFactoryQT.cpp:139"",""blocker""";
"9915,""io/prprf.c doesn't compile on NetBSD/powerpc"",""blocker""";
"20529,""NSPR no longer builds on OpenBSD 2.5"",""blocker""";
"54203,""Command dispatcher needs to be independent from XUL"",""blocker""";
"53697,""xp filepicker not opening because content/global/filepicker.css not in jar.mn"",""blocker""";
"36520,""sizing to content doesn't work under beos"",""blocker""";
"35954,""Frequent crash in clipboard"",""blocker""";
"55771,""crash in nsBoxSizeListImpl::GetBoxSize at startup on SGI Irix"",""blocker""";
"36218,""FTP is broken because we can't bring up the unknown content handler"",""blocker""";
"34306,""Entering secure site url closes browser"",""blocker""";
"18570,""[BLOCKER] [DOGFOOD] cannot run table regression tests bad"",""blocker""";
"59739,""ftp not showing in newest trunk"",""blocker""";
"62552,""radiobuttons can't change state"",""blocker""";
"59571,""netlanski movie (netling) returns incorrect value for getNextText, error 4836"",""blocker""";
"41960,""Browser crashes when character encoding is changed before the page is loaded."",""blocker""";
"61031,""Mozilla not start on Macs with CE (Central European) script!"",""blocker""";
"57885,""crash in nsPluginHostImpl::GetPluginFactory with dual legacy/XPCOM plugin"",""blocker""";
"43606,""Clicking button results in """"JavaScript error: line 0:"""" (hangs UI)"",""blocker""";
"67723,""crash whenever popping up second browser window in viewer (nsDocShellTreeOwner::IsModal)"",""blocker""";
"70058,""Mozilla won't build on FreeBSD - architecture not supported from now.c"",""blocker""";
"70116,""nsprpub does not build"",""blocker""";
"36790,""style elements not recognized in XHTML documents"",""blocker""";
"66263,""page loading times increased over the weekend"",""blocker""";
"37143,""Crash after after browsing briefly, or on startup"",""blocker""";
"52748,""Crash when closing any window"",""blocker""";
"71181,""crash leaving netscape keyword search page"",""blocker""";
"71990,""plevent code build breakage for OpenVMS"",""blocker""";
"72129,""nsLocalFile::OpenANSIFileDesc() won't create new files"",""blocker""";
"73016,""Unable to file/update bugs in bugzilla"",""blocker""";
"73042,""tgz-version browser crashes in free () in malloc.c"",""blocker""";
"72678,""Assembly code for XPTC_InvokeByIndex incorrect for Solaris Intel with Sun compilers."",""blocker""";
"54366,""<SCRIPT>document.write('<A HREF=""""url"""">')";"</script>ClickHere</a> fails."",""blocker"""
"73197,""crashes on launch in splash screen"",""blocker""";
"70683,""Can't edit popupcontrol"",""blocker""";
"61756,""crash stack: il_delete_container"",""blocker""";
"51327,""mozilla doesn't parse java properties files correctly"",""blocker""";
"56297,""Tank Wars does not load on Mac/Win NS6pr3 with either SW8.0 or SW8.5"",""blocker""";
"74755,""NSS dll version string needs to be 3.2.1"",""blocker""";
"60842,""onLoad event in simple document fails"",""blocker""";
"70232,""Cookie manager not showing on Tasks/Privacy and Security/Cookie Manager"",""blocker""";
"72038,""FTP listings never stop loading on Mac"",""blocker""";
"74934,""New View Manager2 causing full-page Acrobat to crash on Mac"",""blocker""";
"73254,""images aren't printing full size"",""blocker""";
"75397,""crash starting jrgm's loadtime test"",""blocker""";
"53347,""Acrobat Forms Support Problem:  Form fails to submit"",""blocker""";
"68756,""ObjectFrame needs nsIDOMFocusListener for Mac keyboard events in Shockwave"",""blocker""";
"70071,""Necko carpool broke BeOS"",""blocker""";
"77276,""NSS autoconf does not include IRIX"",""blocker""";
"77324,""PSM/NSS Build Failure on Sparc Solaris 2.6, nightly 20010423"",""blocker""";
"73650,""CTIME incorrectly defined in portable.h on IRIX6.5, breaking build"",""blocker""";
"77916,""CreateChildList in nsPref.cpp needs to be fixed."",""blocker""";
"77442,""Trunk crash (or hang) with linux scaled images [@ libc.so.6 - DoScale - DrawScaledImageNN]"",""blocker""";
